theta,gen,true_prior,mean_total_nll_per_adult,num_adults,num_adult_trials,mean_nll_per_trial,k,mean_aic_per_run
"(9,1)",0.3,0.02,57.04141205681525,20,373,3.0585207537166355,2,118.0828241136305
"(9,1)",0.4,0.02,29.890894738604324,20,373,1.6027289404077385,2,63.78178947720865
"(9,1)",0.5,0.02,33.18047263987979,20,373,1.779113814470766,2,70.36094527975958
"(9,1)",0.6,0.02,35.864932610391705,20,373,1.9230526868842739,2,75.72986522078341
"(9,1)",0.7,0.02,34.76265087957845,20,373,1.8639491088245819,2,73.5253017591569
"(9,1)",0.8,0.02,32.14209726538209,20,373,1.7234368506907287,2,68.28419453076418
"(9,1)",0.9,0.02,38.75701506899061,20,373,2.0781241323855557,2,81.51403013798122
"(15,1)",0.1,0.02,77.68743271754533,20,373,4.165545990216908,1,157.37486543509067
"(15,1)",0.2,0.02,49.021862628406794,20,373,2.6285181033998284,2,102.04372525681359
"(15,1)",0.3,0.02,47.03278084143146,20,373,2.5218649244735367,2,98.06556168286292
"(15,1)",0.4,0.02,46.51492358744209,20,373,2.494097779487512,2,97.02984717488418
"(15,1)",0.5,0.02,35.42668339659316,20,373,1.8995540695224218,2,74.85336679318632
"(15,1)",0.6,0.02,39.046361208042825,20,373,2.0936386706725374,2,82.09272241608565
"(15,1)",0.7,0.02,31.92937546448376,20,373,1.712030856004491,2,67.85875092896751
"(15,1)",0.8,0.02,34.566597148252114,20,373,1.853436844410301,2,73.13319429650423
"(15,1)",0.9,0.02,29.479468818819736,20,373,1.5806685693737124,2,62.95893763763947
"(19,1)",0.1,0.02,82.65650387499626,20,373,4.431984121983714,0,165.31300774999252
"(19,1)",0.2,0.02,52.11770687696313,20,373,2.7945151140462805,1,106.23541375392627
"(19,1)",0.3,0.02,38.589411346138874,20,373,2.069137337594578,1,79.17882269227775
"(19,1)",0.4,0.02,35.59894389479547,20,373,1.9087905573616872,1,73.19788778959094
"(19,1)",0.5,0.02,32.028989436633616,20,373,1.7173720877551537,1,66.05797887326723
"(19,1)",0.6,0.02,40.09468619839779,20,373,2.1498491259194523,1,82.18937239679558
"(19,1)",0.7,0.02,38.5833573478517,20,373,2.0688127264263647,1,79.1667146957034
"(19,1)",0.8,0.02,32.18307044073877,20,373,1.7256338037929633,1,66.36614088147753
"(19,1)",0.9,0.02,31.089601092016686,20,373,1.6670027395183211,1,64.17920218403337
